Poligon,ORIGEN,PRO_F,ccaa_F,ESTRATOIFN,Superficie,NUT2_NOM,NUT3_NOM,TipesTR25,DesTipEstr,FCCARB,FORARB,FormArbol,n_distribu,Distribuci,n_sp1,Especie1,O1,n_estado1,Estado1,n_sp2,Especie2,O2,n_estado2,Estado2,n_sp3,Especie3,O3,n_estado3,Estado3,FCCMAT,n_FORmat,FormArbust,HMMAT,FCCHER,n_FORHER,FormHerbac,n_ATRIBUTO,atributo,FCCTOT,n_MODCOM,ModeloComb,TIPOBOSQUE,n_CLAIFN,UsoIFN,n_CLAMFE,UsoMFE,n_REGBIO,RegBio,LULUCF,Shape_Area,fid,Severitat
"2208415",MFE25,"25","51","29",15.7032041761,Cataluña,Lleida,"11",Bosque,"80","14",Robledales de roble pubescente (Quercus humilis),"1",Uniforme,"243",Quercus humilis (Q. Pubescens),"60","3",Latizal,"45",Quercus ilex,"20","3",Latizal,"24",Pinus halepensis,"10","3",Latizal,"10","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"5","10","0",,"0",Sin atributo,"100","7","Matorral de especies muy inflamables (h: 0,5-2 m) situado como sotobosque de masas de coníferas",Frondosas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"111",157032.041761,"1","1"
"2210279",MFE25,"25","51","16",8.27544552619,Cataluña,Lleida,"11",Bosque,"45","18",Encinares (Quercus ilex),"1",Uniforme,"45",Quercus ilex,"70","3",Latizal,"243",Quercus humilis (Q. Pubescens),"10","3",Latizal,"237",Juniperus oxycedrus,"10","2",Monte bravo,"40","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"5","10","0",,"0",Sin atributo,"95","5",Matorral  denso y  verde (h<1 m). Propagación del fuego por la hojarasca y el pasto,Frondosas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"111",82754.4552619,"513","0"
"2208415",MFE25,"25","51","29",15.7032041761,Cataluña,Lleida,"11",Bosque,"80","14",Robledales de roble pubescente (Quercus humilis),"1",Uniforme,"243",Quercus humilis (Q. Pubescens),"60","3",Latizal,"45",Quercus ilex,"20","3",Latizal,"24",Pinus halepensis,"10","3",Latizal,"10","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"5","10","0",,"0",Sin atributo,"100","7","Matorral de especies muy inflamables (h: 0,5-2 m) situado como sotobosque de masas de coníferas",Frondosas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"111",157032.041761,"128","4"
"2208415",MFE25,"25","51","29",15.7032041761,Cataluña,Lleida,"11",Bosque,"80","14",Robledales de roble pubescente (Quercus humilis),"1",Uniforme,"243",Quercus humilis (Q. Pubescens),"60","3",Latizal,"45",Quercus ilex,"20","3",Latizal,"24",Pinus halepensis,"10","3",Latizal,"10","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"5","10","0",,"0",Sin atributo,"100","7","Matorral de especies muy inflamables (h: 0,5-2 m) situado como sotobosque de masas de coníferas",Frondosas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"111",157032.041761,"9","3"
"2213247",MFE25,"25","51","50",63.5655393754,Cataluña,Lleida,"14",Bosque de Galería,"75","33",Bosque ribereño,"1",Uniforme,"58",Populus nigra,"50","4",Fustal,"51",Populus alba,"20","3",Latizal,"57",Salix spp.,"20","3",Latizal,"15","110","Setos, orlas, bardas, salcedas, galerías arbustivas etc., en disposicion frecuentemente linear","13","10","0",,"0",Sin atributo,"100","7","Matorral de especies muy inflamables (h: 0,5-2 m) situado como sotobosque de masas de coníferas",Frondosas,"115",Monte arbolado. Ribera arbolada,"110",Arbolado,"4",Mediterránea,"111",635655.393754,"1","1"
"2210198",MFE25,"25","51","17",8.15286150106,Cataluña,Lleida,"11",Bosque,"35","18",Encinares (Quercus ilex),"1",Uniforme,"45",Quercus ilex,"90","3",Latizal,"0",sin datos,"0","0",Sin datos,"0",sin datos,"0","0",Sin datos,"50","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"5","10","0",,"0",Sin atributo,"95","5",Matorral  denso y  verde (h<1 m). Propagación del fuego por la hojarasca y el pasto,Frondosas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"111",81528.6150106,"128","4"
"2208415",MFE25,"25","51","29",15.7032041761,Cataluña,Lleida,"11",Bosque,"80","14",Robledales de roble pubescente (Quercus humilis),"1",Uniforme,"243",Quercus humilis (Q. Pubescens),"60","3",Latizal,"45",Quercus ilex,"20","3",Latizal,"24",Pinus halepensis,"10","3",Latizal,"10","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"5","10","0",,"0",Sin atributo,"100","7","Matorral de especies muy inflamables (h: 0,5-2 m) situado como sotobosque de masas de coníferas",Frondosas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"111",157032.041761,"513","0"
"2210198",MFE25,"25","51","17",8.15286150106,Cataluña,Lleida,"11",Bosque,"35","18",Encinares (Quercus ilex),"1",Uniforme,"45",Quercus ilex,"90","3",Latizal,"0",sin datos,"0","0",Sin datos,"0",sin datos,"0","0",Sin datos,"50","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"5","10","0",,"0",Sin atributo,"95","5",Matorral  denso y  verde (h<1 m). Propagación del fuego por la hojarasca y el pasto,Frondosas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"111",81528.6150106,"9","3"
"2215321",MFE25,"25","51","17",13.5105114914,Cataluña,Lleida,"11",Bosque,"20","18",Encinares (Quercus ilex),"1",Uniforme,"45",Quercus ilex,"70","3",Latizal,"243",Quercus humilis (Q. Pubescens),"20","3",Latizal,"0",sin datos,"0","0",Sin datos,"60","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"5","20","0",,"0",Sin atributo,"100","5",Matorral  denso y  verde (h<1 m). Propagación del fuego por la hojarasca y el pasto,Frondosas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"111",135105.114914,"9","3"
"2215321",MFE25,"25","51","17",13.5105114914,Cataluña,Lleida,"11",Bosque,"20","18",Encinares (Quercus ilex),"1",Uniforme,"45",Quercus ilex,"70","3",Latizal,"243",Quercus humilis (Q. Pubescens),"20","3",Latizal,"0",sin datos,"0","0",Sin datos,"60","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"5","20","0",,"0",Sin atributo,"100","5",Matorral  denso y  verde (h<1 m). Propagación del fuego por la hojarasca y el pasto,Frondosas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"111",135105.114914,"128","4"
